,0
0,Michigan
1,New Hampshire
2,Iowa
3,Kentucky
4,Massachusetts
5,North Dakota
6,Maine
7,Alaska
8,Wyoming
9,Tennessee
10,Illinois
11,North Carolina
12,Vermont
13,Minnesota
14,California
15,Arizona
16,Oregon
17,Connecticut
18,Georgia
19,Pennsylvania
20,Louisiana
21,West Virginia
22,Missouri
23,Washington
24,South Dakota
25,Rhode Island
26,Wisconsin
27,Maryland
28,Mississippi
29,Colorado
30,New Mexico
31,Nevada
32,Indiana
33,Delaware
34,New Jersey
35,Montana
36,Ohio
37,Florida
38,Idaho
39,Kansas
40,New York
41,Oklahoma
42,Texas
43,Arkansas
44,Hawaii
45,Utah
46,Virginia
47,Alabama
48,Nebraska
49,South Carolina
